"REF_DATE","GEO","DGUID","Lender type","Characteristics of outstanding residential mortgage loans","Residential mortgage loans outstanding","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 75% and up to 80%, uninsured outstanding residential mortgages by LTV ratio","Number of mortgages outstanding","Number","223","units","0","v1374992342","1.1.49.2","180744","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 80%, uninsured outstanding residential mortgages by LTV ratio","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992103","1.1.50.1","7883196","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","More than 80%, uninsured outstanding residential mortgages by LTV ratio","Number of mortgages outstanding","Number","223","units","0","v1374992343","1.1.50.2","52994","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","Total insured residential mortgages in arrears by days in arrears","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992104","1.1.51.1","2917173","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","Total insured residential mortgages in arrears by days in arrears","Number of mortgages outstanding","Number","223","units","0","v1374992344","1.1.51.2","14434","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","1 to 30 days, insured residential mortgages in arrears by days in arrears","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992105","1.1.52.1","2053240","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","1 to 30 days, insured residential mortgages in arrears by days in arrears","Number of mortgages outstanding","Number","223","units","0","v1374992345","1.1.52.2","10364","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","31 to 60 days, insured residential mortgages in arrears by days in arrears","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992106","1.1.53.1","448608","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","31 to 60 days, insured residential mortgages in arrears by days in arrears","Number of mortgages outstanding","Number","223","units","0","v1374992346","1.1.53.2","1878","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","61 to 90 days, insured residential mortgages in arrears by days in arrears","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992107","1.1.54.1","90937","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","61 to 90 days, insured residential mortgages in arrears by days in arrears","Number of mortgages outstanding","Number","223","units","0","v1374992347","1.1.54.2","481","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","Over 90 days, insured residential mortgages in arrears by days in arrears","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992108","1.1.55.1","324388","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","Over 90 days, insured residential mortgages in arrears by days in arrears","Number of mortgages outstanding","Number","223","units","0","v1374992348","1.1.55.2","1711","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","Total uninsured residential mortgages in arrears by days in arrears","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992109","1.1.56.1","4028361","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","Total uninsured residential mortgages in arrears by days in arrears","Number of mortgages outstanding","Number","223","units","0","v1374992349","1.1.56.2","19530","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","1 to 30 days, uninsured residential mortgages in arrears by days in arrears","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992110","1.1.57.1","2805153","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","1 to 30 days, uninsured residential mortgages in arrears by days in arrears","Number of mortgages outstanding","Number","223","units","0","v1374992350","1.1.57.2","14109","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","31 to 60 days, uninsured residential mortgages in arrears by days in arrears","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992111","1.1.58.1","478196","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","31 to 60 days, uninsured residential mortgages in arrears by days in arrears","Number of mortgages outstanding","Number","223","units","0","v1374992351","1.1.58.2","2407","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","61 to 90 days, uninsured residential mortgages in arrears by days in arrears","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992112","1.1.59.1","167551","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","61 to 90 days, uninsured residential mortgages in arrears by days in arrears","Number of mortgages outstanding","Number","223","units","0","v1374992352","1.1.59.2","786","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","Over 90 days, uninsured residential mortgages in arrears by days in arrears","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992113","1.1.60.1","577461","","","","0"
"2020-01","Canada","2021A000011124","All non-bank lenders","Over 90 days, uninsured residential mortgages in arrears by days in arrears","Number of mortgages outstanding","Number","223","units","0","v1374992353","1.1.60.2","2228","","","","0"
"2020-01","Canada","2021A000011124","Credit Unions","Total outstanding residential mortgages","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992114","1.2.1.1","210820446","","","","0"
"2020-01","Canada","2021A000011124","Credit Unions","Total outstanding residential mortgages","Number of mortgages outstanding","Number","223","units","0","v1374992354","1.2.1.2","1290840","","","","0"
"2020-01","Canada","2021A000011124","Credit Unions","Total insured outstanding residential mortgages","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992115","1.2.2.1","59149325","","","","0"
"2020-01","Canada","2021A000011124","Credit Unions","Total insured outstanding residential mortgages","Number of mortgages outstanding","Number","223","units","0","v1374992355","1.2.2.2","319178","","","","0"
"2020-01","Canada","2021A000011124","Credit Unions","Total uninsured outstanding residential mortgages","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992116","1.2.3.1","151671121","","","","0"
"2020-01","Canada","2021A000011124","Credit Unions","Total uninsured outstanding residential mortgages","Number of mortgages outstanding","Number","223","units","0","v1374992356","1.2.3.2","971662","","","","0"
"2020-01","Canada","2021A000011124","Credit Unions","Total insured outstanding residential mortgages by amortization period","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992117","1.2.4.1","59149325","","","","0"
"2020-01","Canada","2021A000011124","Credit Unions","Total insured outstanding residential mortgages by amortization period","Number of mortgages outstanding","Number","223","units","0","v1374992357","1.2.4.2","319178","","","","0"
"2020-01","Canada","2021A000011124","Credit Unions","5 years of less, insured outstanding residential mortgages by amortization period","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992118","1.2.5.1","353485","","","","0"
"2020-01","Canada","2021A000011124","Credit Unions","5 years of less, insured outstanding residential mortgages by amortization period","Number of mortgages outstanding","Number","223","units","0","v1374992358","1.2.5.2","9199","","","","0"
"2020-01","Canada","2021A000011124","Credit Unions","More than 5 years and up to 10 years, insured outstanding residential mortgages by amortization period","Value of mortgages outstanding","Dollars","81","thousands","3","v1374992119","1.2.6.1","1069176","","","","0"
"2020-01","Canada","2021A000011124","Credit Unions","More than 5 years and up to 10 years, insured outstanding residential mortgages by amortization period","Number of mortgages outstanding","Number","223","units","0","v1374992359","1.2.6.2","15298","","","","0"
